,Alt-Ergo-0.95.2 result,Alt-Ergo-0.95.2 time,Alt-Ergo-1.01 result,Alt-Ergo-1.01 time,CVC3 result,CVC3 time,CVC4 result,CVC4 time,Yices result,Yices time,Z3-4.3.2 result,Z3-4.3.2 time,Z3-4.4.1 result,Z3-4.4.1 time,and,as,avg_op_arity,case,depth,divisor,eps,exists,false,file,float,forall,func,goal,if,iff,impl,int,let,n_branches,n_ops,n_preds,n_quants,not,or,size,theory,true,var,veriT result,veriT time,wild,zero_ar,Z3-4.3.2,CVC3,CVC4,Yices,Z3-4.4.1,veriT,Alt-Ergo-1.01,Alt-Ergo-0.95.2,Predicted Alt-Ergo-0.95.2,Predicted Alt-Ergo-1.01,Predicted CVC3,Predicted CVC4,Predicted Yices,Predicted Z3-4.3.2,Predicted Z3-4.4.1,Predicted veriT,key,rf,best,worst,best time,best result,worst time,worst result,rf time,rf result,rf no time,rf no result,rand time
algo64:Algo64:WP_parameter qs,Valid,0.1417702986,Valid,0.144168389909,Valid,0.155903339425,Valid,0.199770886,Timeout,10.1305134988,Valid,0.1495368046,Valid,0.17330425934,7.0,0.0,2.344828,0.0,14.0,29.0,0.0,0.0,0.0,algo64.mlw,0.0,2.0,17.0,WP_parameter qs,1.0,0.0,2.0,13.0,3.0,37.0,30.0,1.0,2.0,0.0,0.0,69.0,Algo64,0.0,24.0,Valid,0.1196706252,0.0,0.0,0.1495368046,0.155903339425,0.199770886,30.1305134988,0.17330425934,0.1196706252,0.144168389909,0.1417702986,4.10321269756,3.2673695126,2.97306883631,6.26775314125,5.1879846517,2.63717597843,2.59407409751,4.78168348944,algo64:Algo64:WP_parameter qs,Zz3Aavy4,vaAz3Z4y,y4Z3zAav,0.1196706252,Valid,10.3302843848,Valid,0.144168389909,Valid,0.17330425934,Valid,1.42118913065
algo64:Algo64:WP_parameter quicksort,Timeout,11.10764641,Valid,1.24336445806,Unknown,3.37014803291,Timeout,10.2428171616,Timeout,10.1320052184,Timeout,10.1500691392,Timeout,10.1493484674,34.0,0.0,2.306306,0.0,24.0,111.0,0.0,0.0,0.0,algo64.mlw,0.0,7.0,66.0,WP_parameter quicksort,1.0,0.0,7.0,24.0,4.0,138.0,112.0,1.0,7.0,0.0,0.0,257.0,Algo64,0.0,114.0,Timeout,10.1065849062,0.0,0.0,30.1500691392,13.3701480329,30.2428171616,30.1320052184,30.1493484674,30.1065849062,1.24336445806,31.10764641,8.00963363597,6.94179529024,8.05062870861,9.25056092879,9.13261298139,8.63993444281,8.77452795462,10.3848150349,algo64:Algo64:WP_parameter quicksort,Aa3zZy4v,A3vyZz4a,a4zZyv3A,1.24336445806,Valid,66.5019837938,Valid,2.24336445806,Valid,1.24336445806,Valid,33.8726741259
assigning_meanings_to_programs:Division:WP_parameter division,Valid,0.1134789336,Valid,0.123863276735,Valid,0.09831209516,Valid,0.125075420022,Unknown,0.09332588692,Valid,0.141274788732,Valid,0.1206830878,9.0,0.0,2.179487,0.0,16.0,39.0,0.0,0.0,0.0,assigning_meanings_to_programs.mlw,0.0,4.0,26.0,WP_parameter division,1.0,0.0,4.0,9.0,0.0,42.0,40.0,1.0,4.0,0.0,0.0,86.0,Division,0.0,33.0,Unknown,0.09441667634,0.0,0.0,0.141274788732,0.09831209516,0.125075420022,10.0933258869,0.1206830878,10.0944166763,0.123863276735,0.1134789336,4.14264963223,2.98451678589,3.29030398886,4.52887757212,6.6616565224,3.65401951031,3.23381870986,6.46265930518,assigning_meanings_to_programs:Division:WP_parameter division,AZ3za4vy,3aZA4zyv,vyz4AZa3,0.09831209516,Valid,0.329017351992,Valid,0.123863276735,Valid,0.123863276735,Valid,0.147268299855
assigning_meanings_to_programs:Sum:WP_parameter sum,Valid,0.1249513174,Valid,0.135712000522,Valid,0.1129616778,Valid,0.172411418174,Valid,0.128384678128,Valid,0.153488968591,Valid,0.185854883902,13.0,0.0,2.215686,0.0,17.0,51.0,0.0,0.0,0.0,assigning_meanings_to_programs.mlw,0.0,4.0,34.0,WP_parameter sum,1.0,0.0,4.0,20.0,0.0,58.0,52.0,1.0,4.0,0.0,0.0,114.0,Sum,0.0,38.0,Timeout,10.084403065,0.0,0.0,0.153488968591,0.1129616778,0.172411418174,0.128384678128,0.185854883902,30.084403065,0.135712000522,0.1249513174,5.06158242555,4.26062769959,3.03092036021,5.64576668157,5.11571834105,3.59423679513,3.37378763082,5.39703538998,assigning_meanings_to_programs:Sum:WP_parameter sum,3ZzAayv4,3ayAz4Zv,vZ4zAya3,0.1129616778,Valid,10.2702579489,Valid,0.135712000522,Valid,0.1129616778,Valid,1.40537394663
balance:Puzzle12:WP_parameter solve12,Valid,1.3147664975,Valid,1.3298766946,Failure,7.28657493114,Valid,0.370115346,Valid,0.161969135909,Valid,0.20464282693,Valid,0.219374184105,142.0,0.0,1.836842,26.0,43.0,570.0,0.0,0.0,0.0,balance.mlw,0.0,29.0,385.0,WP_parameter solve12,1.0,0.0,16.0,226.0,26.0,624.0,597.0,27.0,29.0,1.0,0.0,1150.0,Puzzle12,0.0,296.0,Valid,0.17624770069,2.0,100.0,0.20464282693,27.2865749311,0.370115346,0.161969135909,0.219374184105,0.17624770069,1.3298766946,1.3147664975,13.9776165613,12.5469558246,12.418550197,13.8592173779,13.4419354208,11.8390752492,12.1377267135,13.1952185807,balance:Puzzle12:WP_parameter solve12,zZ3Avy4a,yvzZ4aA3,3Aa4Zzvy,0.161969135909,Valid,8.61645162574,Valid,1.20464282693,Valid,0.20464282693,Valid,1.45039220721
balance:Puzzle8:WP_parameter solve3,Valid,0.157569828564,Valid,0.161820824447,Valid,0.1417758008,Timeout,10.1758916292,Valid,0.1202484854,Valid,0.1426334326,Valid,0.17424867724,11.0,0.0,2.019608,2.0,17.0,51.0,0.0,0.0,0.0,balance.mlw,0.0,4.0,35.0,WP_parameter solve3,0.0,0.0,2.0,13.0,3.0,61.0,53.0,2.0,4.0,0.0,0.0,112.0,Puzzle8,0.0,42.0,Timeout,10.11438929,0.0,6.0,0.1426334326,0.1417758008,30.1758916292,0.1202484854,0.17424867724,30.11438929,0.161820824447,0.157569828564,6.11556539255,4.99805207793,5.80184960082,7.72670126911,7.84324163686,5.43493077666,5.62687680277,8.40032123508,balance:Puzzle8:WP_parameter solve3,AzZ3a4yv,y3zaAZv4,4vZAaz3y,0.1202484854,Valid,20.4645295964,Valid,0.161820824447,Valid,0.161820824447,Valid,3.04832773473
balance:Puzzle8:WP_parameter solve8,Valid,0.538552520429,Valid,0.3009765912,Valid,0.367690690833,Valid,0.1882675976,Valid,0.1308563852,Valid,0.163259126238,Valid,0.186368899554,24.0,0.0,2.06383,4.0,29.0,94.0,0.0,0.0,0.0,balance.mlw,0.0,6.0,62.0,WP_parameter solve8,0.0,0.0,3.0,50.0,5.0,116.0,98.0,4.0,6.0,0.0,0.0,210.0,Puzzle8,0.0,55.0,Timeout,10.1261881286,1.0,10.0,0.163259126238,0.367690690833,0.1882675976,0.1308563852,0.186368899554,30.1261881286,0.3009765912,0.538552520429,10.7124311244,7.94855680148,8.98114575583,10.8290107444,10.782991428,9.73384451586,10.4114021813,11.2410942811,balance:Puzzle8:WP_parameter solve8,A3zZay4v,yzZ4A3av,va3A4Zzy,0.1308563852,Valid,10.664740649,Valid,0.3009765912,Valid,0.3009765912,Valid,1.53376948908
binary_multiplication:BinaryMultiplication:WP_parameter binary_mult,Valid,0.757276057808,Valid,0.2237095019,Valid,0.169027771138,Timeout,10.13305623,Unknown,0.114402532042,Valid,0.748093149429,Valid,1.2825707406,11.0,0.0,2.145161,0.0,20.0,62.0,0.0,0.0,0.0,binary_multiplication.mlw,0.0,7.0,41.0,WP_parameter binary_mult,2.0,0.0,7.0,17.0,0.0,63.0,64.0,2.0,7.0,3.0,0.0,134.0,BinaryMultiplication,0.0,46.0,Unknown,0.108327632556,0.0,0.0,0.748093149429,0.169027771138,30.13305623,10.114402532,1.2825707406,10.1083276326,0.2237095019,0.757276057808,6.17613383517,4.99868090971,4.89385183613,7.93193804152,6.54229161314,5.20087882556,5.02979359674,8.01971997276,binary_multiplication:BinaryMultiplication:WP_parameter binary_mult,3AZzay4v,3AzaZvy4,4yvZazA3,0.169027771138,Valid,11.6383571352,Valid,0.2237095019,Valid,0.169027771138,Valid,2.36209984327
bresenham:M:WP_parameter bresenham,Timeout,11.0676253986,Unknown,0.858467579065,Unknown,9.0416894748,Unknown,0.090520135,Unknown,0.060191617,Timeout,10.0736214624,Timeout,10.083126864,11.0,0.0,1.57377,0.0,21.0,122.0,0.0,0.0,0.0,bresenham.mlw,0.0,5.0,104.0,WP_parameter bresenham,1.0,0.0,6.0,37.0,1.0,95.0,123.0,1.0,5.0,0.0,0.0,193.0,M,0.0,28.0,Unknown,0.0576639224,0.0,30.0,30.0736214624,19.0416894748,10.090520135,10.060191617,30.083126864,10.0576639224,10.8584675791,31.0676253986,10.6587829286,8.71706880539,8.61310373545,10.8436935196,9.52227803399,11.6840725978,11.9326621049,11.3122236632,bresenham:M:WP_parameter bresenham,3Aya4vzZ,vy4A3zZa,aZz3A4yv,41.3329064533,Unknown,41.3329064533,Timeout,42.1913740323,Unknown,41.3329064533,Unknown,41.3329064533
bresenham:M:closest,Unknown,0.1142938202,Unknown,0.1013040062,Timeout,10.0967881118,Unknown,0.0911569306857,Unknown,0.0581544408,Timeout,10.072398026,Timeout,10.0735476504,0.0,0.0,1.928571,0.0,8.0,14.0,0.0,0.0,0.0,bresenham.mlw,0.0,2.0,13.0,closest,0.0,0.0,1.0,2.0,0.0,12.0,14.0,0.0,2.0,0.0,0.0,28.0,M,0.0,10.0,Unknown,0.0608577299796,0.0,0.0,30.072398026,30.0967881118,10.0911569307,10.0581544408,30.0735476504,10.06085773,10.1013040062,10.1142938202,5.37581381821,4.93025762971,5.48599791852,6.16228557784,8.73625853692,7.90564518064,7.55452755732,7.32039078979,bresenham:M:closest,Aa34vZzy,yv4AazZ3,3ZzaA4vy,30.6685007161,Unknown,30.6685007161,Timeout,30.7698047223,Unknown,30.6685007161,Unknown,30.6685007161
