,Alt-Ergo-0.95.2 result,Alt-Ergo-0.95.2 time,Alt-Ergo-1.01 result,Alt-Ergo-1.01 time,CVC3 result,CVC3 time,CVC4 result,CVC4 time,Yices result,Yices time,Z3-4.3.2 result,Z3-4.3.2 time,Z3-4.4.1 result,Z3-4.4.1 time,and,as,avg_op_arity,case,depth,divisor,eps,exists,false,file,float,forall,func,goal,if,iff,impl,int,let,n_branches,n_ops,n_preds,n_quants,not,or,size,theory,true,var,veriT result,veriT time,wild,zero_ar,Z3-4.3.2,CVC3,CVC4,Yices,Z3-4.4.1,veriT,Alt-Ergo-1.01,Alt-Ergo-0.95.2,Predicted Alt-Ergo-0.95.2,Predicted Alt-Ergo-1.01,Predicted CVC3,Predicted CVC4,Predicted Yices,Predicted Z3-4.3.2,Predicted Z3-4.4.1,Predicted veriT,key,rf,best,worst,best time,best result,worst time,worst result,rf time,rf result,rf no time,rf no result
vstte12_ring_buffer:RingBuffer:WP_parameter create,Valid,0.178865145089,Valid,0.180207334323,Valid,0.183596391867,Valid,0.212437268644,Valid,0.168565229519,Valid,0.19563592976,Valid,0.20020005576,12.0,0.0,1.907407,0.0,19.0,54.0,0.0,0.0,0.0,vstte12_ring_buffer.mlw,0.0,4.0,36.0,WP_parameter create,0.0,0.0,6.0,18.0,0.0,49.0,54.0,0.0,4.0,0.0,0.0,104.0,RingBuffer,0.0,28.0,Valid,0.172379783919,0.0,3.0,0.19563592976,0.183596391867,0.212437268644,0.168565229519,0.20020005576,0.172379783919,0.180207334323,0.178865145089,2.98818168591,2.45736055279,1.85661356502,3.2897070903,3.84429558637,2.72333348267,2.44358567823,3.58319124464,vstte12_ring_buffer:RingBuffer:WP_parameter create,3ZAza4vy,yvaA3zZ4,4Zz3Aavy,0.168565229519,Valid,0.212437268644,Valid,0.180207334323,Valid,0.183596391867,Valid
bitcount:AsciiCode:asciiProp,Valid,0.6869873776,Valid,0.4746186314,Valid,0.704270880556,Valid,0.232160757222,Unknown,0.402305427429,Failure,10.213356524,Valid,0.204910865143,2.0,0.0,1.636364,0.0,7.0,11.0,0.0,0.0,0.0,bitcount.mlw,0.0,1.0,6.0,asciiProp,0.0,1.0,0.0,0.0,0.0,6.0,12.0,1.0,1.0,2.0,1.0,19.0,AsciiCode,0.0,6.0,Unknown,0.201699679351,0.0,0.0,30.213356524,0.704270880556,0.232160757222,10.4023054274,0.204910865143,10.2016996794,0.4746186314,0.6869873776,9.49898024017,8.68787418642,8.84118685329,2.65081215057,9.14003577084,8.19446593737,5.19104120279,9.42850597032,bitcount:AsciiCode:asciiProp,4ZzA3yva,Z4Aa3vyz,zyv3aA4Z,0.204910865143,Valid,11.5216325113,Valid,0.4746186314,Valid,0.232160757222,Valid
euler001:DivModHints:div2_add,Valid,1.4790466472,Valid,0.168637705476,Valid,0.153882458079,Valid,0.143739594224,Valid,0.0951609865521,Valid,0.1093278268,Valid,0.1157590518,1.0,0.0,2.083333,0.0,6.0,12.0,0.0,0.0,0.0,euler001.mlw,0.0,1.0,10.0,div2_add,0.0,0.0,1.0,7.0,0.0,13.0,12.0,0.0,1.0,0.0,0.0,26.0,DivModHints,0.0,6.0,Valid,1.12937783879,0.0,0.0,0.1093278268,0.153882458079,0.143739594224,0.0951609865521,0.1157590518,1.12937783879,0.168637705476,1.4790466472,4.87423871966,3.63296167276,3.04591389697,4.59168951758,6.6385931571,5.71680259826,5.82014021298,6.14994703078,euler001:DivModHints:div2_add,3A4azZvy,yzZ43Ava,avA34Zzy,0.0951609865521,Valid,1.4790466472,Valid,0.168637705476,Valid,0.153882458079,Valid
dijkstra:DijkstraShortestPath:Completeness_lemma,Timeout,11.101486109,Timeout,10.1266965486,Timeout,10.0989407688,Timeout,11.1304785234,Timeout,10.0188448918,Timeout,10.13679379,Timeout,10.1435201922,0.0,0.0,2.5,0.0,9.0,12.0,0.0,0.0,0.0,dijkstra.mlw,0.0,6.0,7.0,Completeness_lemma,0.0,0.0,5.0,0.0,0.0,13.0,12.0,0.0,6.0,0.0,0.0,31.0,DijkstraShortestPath,0.0,13.0,Timeout,10.0879383744,0.0,0.0,30.13679379,30.0989407688,31.1304785234,30.0188448918,30.1435201922,30.0879383744,30.1266965486,31.101486109,6.95353305207,5.88884746701,5.87094869037,6.3362035002,8.52715659361,7.56312586277,6.8588233959,8.72568823638,dijkstra:DijkstraShortestPath:Completeness_lemma,3A4Zazyv,yv3AzZa4,4aZzA3vy,82.8446991982,Timeout,82.8446991982,Timeout,83.8446991982,Timeout,82.8446991982,Timeout
euler001:SumMultiple:div_3,Valid,0.132190121061,Valid,0.138149725889,Valid,0.115791568355,Valid,0.14069061017,Unknown,0.102231058109,Valid,0.131903143265,Valid,0.138094769738,0.0,0.0,2.25,0.0,5.0,4.0,0.0,0.0,0.0,euler001.mlw,0.0,1.0,3.0,div_3,0.0,0.0,1.0,3.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,10.0,SumMultiple,0.0,2.0,Unknown,0.100155756105,0.0,0.0,0.131903143265,0.115791568355,0.14069061017,10.1022310581,0.138094769738,10.1001557561,0.138149725889,0.132190121061,1.59512810477,1.56922464072,2.31442947199,2.80611395031,7.3935235194,2.17899908985,2.9158918077,5.02785245184,euler001:SumMultiple:div_3,Aaz34Zvy,3zaZA4vy,yv4AZaz3,0.115791568355,Valid,0.343077424384,Valid,0.138149725889,Valid,0.138149725889,Valid
euler001:DivModHints:div_succ_1,Timeout,11.0951937404,Unknown,9.7570126392,Valid,0.132706137256,Unknown,0.12766576812,Unknown,0.0899825760217,Timeout,10.1006554882,Timeout,10.112796759,1.0,0.0,2.076923,0.0,7.0,13.0,0.0,0.0,0.0,euler001.mlw,0.0,1.0,10.0,div_succ_1,0.0,0.0,2.0,6.0,0.0,14.0,13.0,0.0,1.0,0.0,0.0,28.0,DivModHints,0.0,8.0,Unknown,0.09349444038,0.0,0.0,30.1006554882,0.132706137256,10.1276657681,10.089982576,30.112796759,10.0934944404,19.7570126392,31.0951937404,7.01932666681,5.73739281632,5.3553036317,6.49619329499,8.13909426803,8.84823670336,8.78583647399,7.51362002872,euler001:DivModHints:div_succ_1,3A4avyZz,3yv4AzZa,aZzA4vy3,0.132706137256,Valid,41.5095075486,Valid,1.13270613726,Valid,0.132706137256,Valid
resizable_array:Test:WP_parameter test2,Valid,0.13534069113,Valid,0.143159117842,Valid,0.122763197,Valid,0.151440605,Valid,0.11771582935,Valid,0.139604277067,Valid,0.1416482265,47.0,0.0,2.104895,0.0,24.0,143.0,0.0,0.0,0.0,resizable_array.mlw,0.0,13.0,81.0,WP_parameter test2,0.0,0.0,15.0,48.0,0.0,146.0,143.0,0.0,13.0,0.0,0.0,302.0,Test,0.0,98.0,Failure,7.610297716,0.0,0.0,0.139604277067,0.122763197,0.151440605,0.11771582935,0.1416482265,27.610297716,0.143159117842,0.13534069113,6.22524651104,3.66902522804,4.03971644005,4.78998755209,7.19572212455,5.28322601697,5.4444944969,9.03154319639,resizable_array:Test:WP_parameter test2,A34zZayv,y3azZA4v,v4AZza3y,0.11771582935,Valid,7.761738321,Valid,0.143159117842,Valid,0.143159117842,Valid
sudoku:Solver:valid_unchanged_chunks,Unknown,0.312166634163,Valid,0.285784285583,Unknown,0.412675303859,Valid,0.273713010029,Timeout,10.218560817,Valid,0.253026368,Valid,0.252552195611,4.0,0.0,2.136364,0.0,11.0,22.0,0.0,0.0,0.0,sudoku.mlw,0.0,1.0,11.0,valid_unchanged_chunks,0.0,0.0,3.0,2.0,3.0,25.0,22.0,0.0,1.0,1.0,0.0,48.0,Solver,0.0,23.0,Failure,2.8348976522,0.0,0.0,0.253026368,10.4126753039,0.273713010029,30.218560817,0.252552195611,22.8348976522,0.285784285583,10.3121666342,5.82250488176,4.99700947932,6.1335223826,7.48188342197,9.1232847465,6.28108519901,5.40384440419,6.2230559368,sudoku:Solver:valid_unchanged_chunks,AZa3vz4y,Zz4Aa3vy,yv3aA4zZ,0.252552195611,Valid,14.0640846928,Valid,0.285784285583,Valid,0.285784285583,Valid
flag2:Flag:nb_occ_store_neq_eq,Unknown,0.857122499583,Unknown,0.221095813625,Timeout,10.0640357358,Timeout,10.1158975634,Valid,0.0816635982857,Timeout,10.0738825398,Timeout,10.0946480074,1.0,0.0,2.333333,0.0,8.0,15.0,0.0,0.0,0.0,flag2.mlw,0.0,1.0,10.0,nb_occ_store_neq_eq,0.0,0.0,3.0,1.0,0.0,20.0,15.0,0.0,1.0,1.0,0.0,36.0,Flag,0.0,19.0,Timeout,10.0740084268,0.0,0.0,30.0738825398,30.0640357358,30.1158975634,0.0816635982857,30.0946480074,30.0740084268,10.2210958136,10.8571224996,6.6877978166,6.19905188425,8.3637303338,9.16935417608,10.2939372201,8.37536181258,7.93328658398,8.260010885,flag2:Flag:nb_occ_store_neq_eq,AaZv3z4y,yAa3zvZ4,4Zvz3aAy,0.0816635982857,Valid,51.5823541847,Valid,51.8034499983,Valid,51.5823541847,Valid
bitvector_examples:Test_imperial_violet:bv32_bounds_0,Valid,0.1661281864,Valid,0.1739205984,Valid,0.1757861442,Timeout,10.1664500876,Unknown,0.361653415923,Valid,0.298650444667,Timeout,10.1390120262,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,bitvector_examples.mlw,0.0,1.0,2.0,bv32_bounds_0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,5.0,Test_imperial_violet,0.0,1.0,Valid,0.169478333776,0.0,0.0,0.298650444667,0.1757861442,30.1664500876,10.3616534159,30.1390120262,0.169478333776,0.1739205984,0.1661281864,8.52739355967,8.51493603267,8.47902513181,10.5081596165,11.0036205028,10.1527627381,9.85894509089,11.3248652875,bitvector_examples:Test_imperial_violet:bv32_bounds_0,3AaZz4yv,avA3zyZ4,4Zyz3Ava,0.1661281864,Valid,20.9657659744,Valid,0.1739205984,Valid,0.1757861442,Valid
